captured_at	kick_off	min_to_ko	type	match	bet	odds	confidence	change	opening	reason
15:53:38	16:00	6	STEAM	Coquimbo vs Palestino	2 (Palestino)	3.49	80%	-12.8%	4.00	Steam move: odds dropped -12.8% | Sustained odds drop: 4.00 → 3.49 (-12.8%) | Strong drop >8% | Only 6 min to kick-off — late data is more reliable | 78 snapshots — robust data
15:53:38	16:00	6	STEAM	Tamworth vs Hartlepool	1 (Tamworth)	2.62	80%	-5.1%	2.76	Steam move: odds dropped -5.1% | Sustained odds drop: 2.76 → 2.62 (-5.1%) | Other outcomes rising while this drops — market consensus | Only 6 min to kick-off — late data is more reliable | 76 snapshots — robust data
15:53:38	16:00	6	STEAM	Hampton & Richmond vs Hornchurch	1 (Hampton & Richmond)	3.10	80%	-10.9%	3.48	Steam move: odds dropped -10.9% | Sustained odds drop: 3.48 → 3.10 (-10.9%) | Strong drop >8% | Only 6 min to kick-off — late data is more reliable | 61 snapshots — robust data
15:53:38	16:00	6	STEAM	Maidstone vs Slough	2 (Slough)	5.33	65%	-5.5%	5.64	Steam move: odds dropped -5.5% | Sustained odds drop: 5.64 → 5.33 (-5.5%) | Only 6 min to kick-off — late data is more reliable | 61 snapshots — robust data
15:53:38	16:00	6	MIXED	Eupen vs Kortrijk	2 (Kortrijk)	1.81	30%	-2.7%	1.86	Other outcomes rising while this drops — market consensus | Only 6 min to kick-off — late data is more reliable | 78 snapshots — robust data
15:53:38	16:00	6	MIXED	Potters Bar vs Billericay	X (Draw)	3.93	30%	-4.2%	4.10	Other outcomes rising while this drops — market consensus | Only 6 min to kick-off — late data is more reliable | 76 snapshots — robust data
15:53:38	16:00	6	MIXED	Rochdale vs Carlisle	1 (Rochdale)	1.71	30%	-4.5%	1.79	Other outcomes rising while this drops — market consensus | Only 6 min to kick-off — late data is more reliable | 76 snapshots — robust data
15:53:38	16:00	6	MIXED	York City vs Forest Green	1 (York City)	1.71	30%	-2.8%	1.76	Other outcomes rising while this drops — market consensus | Only 6 min to kick-off — late data is more reliable | 76 snapshots — robust data
15:53:38	16:00	6	MIXED	Peterborough Sports vs Curzon Ashton	1 (Peterborough Sports)	2.13	30%	-2.3%	2.18	Other outcomes rising while this drops — market consensus | Only 6 min to kick-off — late data is more reliable | 75 snapshots — robust data
16:06:06	16:15	9	LATE_SHARP	Tarazona vs Sanluqueno	1 (Tarazona)	1.40	95%	-8.5%	1.53	Late sharp move detected on 1 | Steam move: odds dropped -8.5% | Sustained odds drop: 1.53 → 1.40 (-8.5%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | Only 9 min to kick-off — late data is more reliable | 30 snapshots — robust data
16:06:06	16:15	9	STEAM	Barcelona vs Mallorca	2 (Mallorca)	14.64	65%	-7.3%	15.80	Steam move: odds dropped -7.3% | Sustained odds drop: 15.80 → 14.64 (-7.3%) | Only 9 min to kick-off — late data is more reliable | 31 snapshots — robust data
16:06:06	16:15	9	MIXED	Racing Club Ferrol vs Lugo	X (Draw)	2.88	30%	-4.0%	3.00	Other outcomes rising while this drops — market consensus | Only 9 min to kick-off — late data is more reliable | 30 snapshots — robust data
17:53:20	18:00	7	STEAM	Union Touarga vs Hassania Agadir	1 (Union Touarga)	1.98	95%	-11.2%	2.23				Steam move: odds dropped -11.2% | Sustained odds drop: 2.23 → 1.98 (-11.2%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | Only 7 min to kick-off — late data is more reliable | 37 snapshots — robust data
17:53:20	18:00	7	STEAM	Rapperswil-Jona vs Yverdon	1 (Rapperswil-Jona)	2.26	95%	-13.4%	2.61				Steam move: odds dropped -13.4% | Sustained odds drop: 2.61 → 2.26 (-13.4%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | Only 7 min to kick-off — late data is more reliable | 37 snapshots — robust data
17:53:20	18:00	7	LATE_SHARP	Kvik Halden (Nor) vs Arendal (Nor)	2 (Arendal (Nor))	1.67	95%	-12.1%	1.90				Late sharp move detected on 2 | Steam move: odds dropped -12.1% | Sustained odds drop: 1.90 → 1.67 (-12.1%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | Only 7 min to kick-off — late data is more reliable | 37 snapshots — robust data
