captured_at	kick_off	min_to_ko	type	match	bet	odds	confidence	change	opening	edge	fair_odds	kelly	reason
11:52:45	12:00	7	SUSTAINED_DROP	Nam Dinh vs Hong Linh Ha Tinh	X (Draw)	3.93	50%	-11.9%	4.46				Sustained odds drop: 4.46 → 3.93 (-11.9%) | Strong drop >8% | Only 7 min to kick-off — late data is more reliable | 367 snapshots — robust data
11:52:45	12:00	7	MIXED	Besat Kermanshah vs Mes Kerman	X (Draw)	2.73	30%	-3.2%	2.82				Other outcomes rising while this drops — market consensus | Only 7 min to kick-off — late data is more reliable | 65 snapshots — robust data
12:21:50	12:30	8	STEAM	Nassaji Mazandaran vs Shahrdari Noshahr	1 (Nassaji Mazandaran)	1.40	95%	-18.1%	1.71				Steam move: odds dropped -18.1% | Sustained odds drop: 1.71 → 1.40 (-18.1%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | Only 8 min to kick-off — late data is more reliable | 415 snapshots — robust data
12:21:50	12:30	8	STEAM	Lamphun Warrior vs Kanchanaburi	1 (Lamphun Warrior)	1.73	95%	-8.9%	1.90				Steam move: odds dropped -8.9% | Sustained odds drop: 1.90 → 1.73 (-8.9%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | Only 8 min to kick-off — late data is more reliable | 415 snapshots — robust data
12:21:50	12:30	8	STEAM	Albirex Niigata vs Hougang	2 (Hougang)	4.30	80%	-12.1%	4.89				Steam move: odds dropped -12.1% | Sustained odds drop: 4.89 → 4.30 (-12.1%) | Strong drop >8% | Only 8 min to kick-off — late data is more reliable | 389 snapshots — robust data
12:53:12	13:00	7	LATE_SHARP	Nazillispor vs Soke 1970	2 (Soke 1970)	1.46	95%	-19.8%	1.82				Late sharp move detected on 2 | Steam move: odds dropped -19.8% | Sustained odds drop: 1.82 → 1.46 (-19.8%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | Only 7 min to kick-off — late data is more reliable | 54 snapshots — robust data
12:53:12	13:00	7	STEAM	Zenit (Rus) vs Din. Samarkand (Uzb)	1 (Zenit (Rus))	1.21	95%	-10.4%	1.35				Steam move: odds dropped -10.4% | Sustained odds drop: 1.35 → 1.21 (-10.4%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | Only 7 min to kick-off — late data is more reliable | 429 snapshots — robust data
12:53:12	13:00	7	STEAM	Fasil Kenema vs Hadiya Hossana	2 (Hadiya Hossana)	3.30	80%	-16.5%	3.95				Steam move: odds dropped -16.5% | Sustained odds drop: 3.95 → 3.30 (-16.5%) | Strong drop >8% | Only 7 min to kick-off — late data is more reliable | 428 snapshots — robust data
12:53:12	13:00	7	STEAM	Bangkok FC vs Kasetsart	1 (Bangkok FC)	2.43	80%	-12.3%	2.77				Steam move: odds dropped -12.3% | Sustained odds drop: 2.77 → 2.43 (-12.3%) | Strong drop >8% | Only 7 min to kick-off — late data is more reliable | 393 snapshots — robust data
12:53:12	13:00	7	STEAM	Aliaga vs Soma Spor	2 (Soma Spor)	15.09	80%	-15.7%	17.90				Steam move: odds dropped -15.7% | Sustained odds drop: 17.90 → 15.09 (-15.7%) | Strong drop >8% | Only 7 min to kick-off — late data is more reliable | 428 snapshots — robust data
12:53:12	13:00	7	STEAM	Arnavutkoy Bl. vs Guzide Gebzespor	2 (Guzide Gebzespor)	2.30	80%	-9.1%	2.53				Steam move: odds dropped -9.1% | Sustained odds drop: 2.53 → 2.30 (-9.1%) | Strong drop >8% | Only 7 min to kick-off — late data is more reliable | 428 snapshots — robust data
12:53:12	13:00	7	STEAM	1926 Polatli Bld. vs Inkilapspor	2 (Inkilapspor)	2.21	80%	-6.4%	2.36				Steam move: odds dropped -6.4% | Sustained odds drop: 2.36 → 2.21 (-6.4%) | Other outcomes rising while this drops — market consensus | Only 7 min to kick-off — late data is more reliable | 391 snapshots — robust data
12:53:12	13:00	7	STEAM	OFK Beograd Mozzart Bet vs Cukaricki	X (Draw)	3.35	65%	-5.6%	3.55				Steam move: odds dropped -5.6% | Sustained odds drop: 3.55 → 3.35 (-5.6%) | Only 7 min to kick-off — late data is more reliable | 428 snapshots — robust data
