captured_at	kick_off	min_to_ko	match	bet	odds	opening	drop_pct	snapshots	confidence	score	market_consensus	type	reason
00:29:05	LIVE 49''	LIVE	Estudiantes L.P. vs Dep. Riestra	1 (Estudiantes L.P.)	2.35	2.02	+12.0%	T3	75%	64.8	0:0	LIVE_VALUE	Edge: +12.0% | Model: 50% vs market: 43% | Fair: 2.02 vs offered: 2.35 | Home value in draw | Mid-game (49') | T3
00:29:05	LIVE 55''	LIVE	Lanus vs Talleres Cordoba	1 (Lanus)	2.77	2.46	+12.0%	T3	75%	64.8	0:0	LIVE_VALUE	Edge: +12.0% | Model: 41% vs market: 36% | Fair: 2.46 vs offered: 2.77 | Home value in draw | Mid-game (55') | T3
00:29:05	LIVE 29''	LIVE	Avenida vs Guarany de Bage	1 (Avenida)	1.46	1.26	+12.0%	T3	65%	62.2	1:0	LIVE_VALUE	Edge: +12.0% | Model: 79% vs market: 68% | Fair: 1.26 vs offered: 1.46 | Home leading 1:0 | Early (29') | T3
00:29:05	LIVE 66''	LIVE	Vilavelhense vs Serra	1 (Vilavelhense)	1.52	1.27	+12.0%	T3	60%	56.0	1:0	LIVE_VALUE	Edge: +12.0% | Model: 78% vs market: 66% | Fair: 1.27 vs offered: 1.52 | Home leading 1:0 | Second half (66') | T3
00:29:07	LIVE 49''	LIVE	Estudiantes L.P. vs Dep. Riestra	1 (Estudiantes L.P.)	2.35	2.02	+12.0%	T3	75%	64.8	0:0	LIVE_VALUE	Edge: +12.0% | Model: 50% vs market: 43% | Fair: 2.02 vs offered: 2.35 | Home value in draw | Mid-game (49') | T3
00:29:07	LIVE 29''	LIVE	Avenida vs Guarany de Bage	1 (Avenida)	1.46	1.26	+12.0%	T3	65%	62.2	1:0	LIVE_VALUE	Edge: +12.0% | Model: 79% vs market: 68% | Fair: 1.26 vs offered: 1.46 | Home leading 1:0 | Early (29') | T3
00:29:07	LIVE 66''	LIVE	Vilavelhense vs Serra	1 (Vilavelhense)	1.52	1.27	+12.0%	T3	60%	56.0	1:0	LIVE_VALUE	Edge: +12.0% | Model: 78% vs market: 66% | Fair: 1.27 vs offered: 1.52 | Home leading 1:0 | Second half (66') | T3
00:32:37	LIVE 70''	LIVE	Vilavelhense vs Serra	1 (Vilavelhense)	1.50	1.23	+12.0%	T3	60%	56.0	1:0	LIVE_VALUE	Edge: +12.0% | Model: 81% vs market: 67% | Fair: 1.23 vs offered: 1.50 | Home leading 1:0 | Second half (70') | T3
00:32:38	LIVE 70''	LIVE	Vilavelhense vs Serra	1 (Vilavelhense)	1.50	1.23	+12.0%	T3	60%	56.0	1:0	LIVE_VALUE	Edge: +12.0% | Model: 81% vs market: 67% | Fair: 1.23 vs offered: 1.50 | Home leading 1:0 | Second half (70') | T3
00:36:15	LIVE 73''	LIVE	Vilavelhense vs Serra	1 (Vilavelhense)	1.47	1.21	+12.0%	T3	60%	56.0	1:0	LIVE_VALUE	Edge: +12.0% | Model: 83% vs market: 68% | Fair: 1.21 vs offered: 1.47 | Home leading 1:0 | Second half (73') | T3
00:44:31	LIVE 53''	LIVE	Serra Branca vs Nacional de Patos	1 (Serra Branca)	1.28	1.11	+12.0%	T3	75%	64.8	2:1	LIVE_VALUE	Edge: +12.0% | Model: 90% vs market: 78% | Fair: 1.11 vs offered: 1.28 | Home leading 2:1 | Mid-game (53') | T3
00:44:35	LIVE 53''	LIVE	Serra Branca vs Nacional de Patos	1 (Serra Branca)	1.28	1.11	+12.0%	T3	75%	64.8	2:1	LIVE_VALUE	Edge: +12.0% | Model: 90% vs market: 78% | Fair: 1.11 vs offered: 1.28 | Home leading 2:1 | Mid-game (53') | T3
00:48:10	LIVE 45+''	LIVE	Juventude vs EC Sao Jose	X (Draw)	3.00	2.55	+12.0%	T3	75%	64.8	0:0	LIVE_VALUE	Edge: +12.0% | Model: 39% vs market: 33% | Fair: 2.55 vs offered: 3.00 | Drawing 0:0 | Mid-game (47') | T3
00:48:10	LIVE 57''	LIVE	Serra Branca vs Nacional de Patos	1 (Serra Branca)	1.28	1.11	+12.0%	T3	75%	64.8	2:1	LIVE_VALUE	Edge: +12.0% | Model: 90% vs market: 78% | Fair: 1.11 vs offered: 1.28 | Home leading 2:1 | Mid-game (57') | T3
00:48:13	LIVE 45+''	LIVE	Juventude vs EC Sao Jose	X (Draw)	2.99	2.55	+12.0%	T3	75%	64.8	0:0	LIVE_VALUE	Edge: +12.0% | Model: 39% vs market: 33% | Fair: 2.55 vs offered: 2.99 | Drawing 0:0 | Mid-game (47') | T3
00:48:13	LIVE 57''	LIVE	Serra Branca vs Nacional de Patos	1 (Serra Branca)	1.28	1.11	+12.0%	T3	75%	64.8	2:1	LIVE_VALUE	Edge: +12.0% | Model: 90% vs market: 78% | Fair: 1.11 vs offered: 1.28 | Home leading 2:1 | Mid-game (57') | T3
00:51:28	01:00	9	UNAM Pumas W vs Guadalajara Chivas W	1 (UNAM Pumas W)	2.67	3.19	-16.3%	224	95%	84.6	DA	STEAM	Steam move: odds dropped -16.3% | Sustained odds drop: 3.19 → 2.67 (-16.3%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | Only 9 min to kick-off — late data is more reliable | 224 snapshots — robust data
00:51:48	LIVE 45+''	LIVE	Juventude vs EC Sao Jose	X (Draw)	2.97	2.55	+12.0%	T3	75%	64.8	0:0	LIVE_VALUE	Edge: +12.0% | Model: 39% vs market: 34% | Fair: 2.55 vs offered: 2.97 | Drawing 0:0 | Mid-game (47') | T3
00:51:48	LIVE 61''	LIVE	Serra Branca vs Nacional de Patos	1 (Serra Branca)	1.32	1.10	+12.0%	T3	75%	64.8	2:1	LIVE_VALUE	Edge: +12.0% | Model: 91% vs market: 76% | Fair: 1.10 vs offered: 1.32 | Home leading 2:1 | Second half (61') | T3
00:56:14	LIVE 65''	LIVE	Serra Branca vs Nacional de Patos	1 (Serra Branca)	1.29	1.09	+12.0%	T3	75%	64.8	2:1	LIVE_VALUE	Edge: +12.0% | Model: 91% vs market: 78% | Fair: 1.09 vs offered: 1.29 | Home leading 2:1 | Second half (65') | T3
01:11:06	LIVE 48''	LIVE	Juventude vs EC Sao Jose	X (Draw)	3.04	2.51	+12.0%	T3	75%	64.8	0:0	LIVE_VALUE	Edge: +12.0% | Model: 40% vs market: 33% | Fair: 2.51 vs offered: 3.04 | Drawing 0:0 | Mid-game (48') | T3
01:14:36	LIVE 51''	LIVE	Juventude vs EC Sao Jose	X (Draw)	2.87	2.40	+12.0%	T3	75%	64.8	0:0	LIVE_VALUE	Edge: +12.0% | Model: 42% vs market: 35% | Fair: 2.40 vs offered: 2.87 | Drawing 0:0 | Mid-game (51') | T3
01:14:42	LIVE 51''	LIVE	Juventude vs EC Sao Jose	X (Draw)	2.87	2.40	+12.0%	T3	75%	64.8	0:0	LIVE_VALUE	Edge: +12.0% | Model: 42% vs market: 35% | Fair: 2.40 vs offered: 2.87 | Drawing 0:0 | Mid-game (51') | T3
01:21:17	01:30	9	Estudiantes Rio Cuarto vs Ind. Rivadavia	2 (Ind. Rivadavia)	2.31	2.69	-14.1%	272	95%	81.1	DA	STEAM	Steam move: odds dropped -14.1% | Sustained odds drop: 2.69 → 2.31 (-14.1%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | Only 9 min to kick-off — late data is more reliable | 272 snapshots — robust data
01:24:30	LIVE 67''	LIVE	CA Cerro vs Danubio	X (Draw)	6.21	5.18	+18.0%	T4	75%	75.2	0:1	LIVE_VALUE	Edge: +18.0% | Model: 19% vs market: 16% | Fair: 5.18 vs offered: 6.21 | Second half (67') | T4
01:27:08	LIVE 69''	LIVE	CA Cerro vs Danubio	X (Draw)	6.92	5.44	+18.0%	T4	65%	72.8	0:1	LIVE_VALUE	Edge: +18.0% | Model: 18% vs market: 14% | Fair: 5.44 vs offered: 6.92 | Second half (69') | T4
01:30:42	LIVE 61''	LIVE	Orsomarso vs Patriotas	2 (Patriotas)	6.96	5.62	+12.0%	T3	75%	64.8	0:0	LIVE_VALUE	Edge: +12.0% | Model: 18% vs market: 14% | Fair: 5.62 vs offered: 6.96 | Away value in draw | Second half (61') | T3
