kick_off	min_to_ko	type	match	bet	odds	confidence	change	opening	edge	fair_odds	kelly	reason
16:00	186	SUSTAINED_DROP	Neftci Baku vs Gabala	X (Draw)	3.29	25%	-5.2%	3.47				Sustained odds drop: 3.47 → 3.29 (-5.2%) | 1317 snapshots — robust data
16:30	216	STEAM	Teuta vs Egnatia	X (Draw)	2.86	70%	-13.3%	3.30				Steam move: odds dropped -13.3% | Sustained odds drop: 3.30 → 2.86 (-13.3%) | Strong drop >8% | 1255 snapshots — robust data
16:30	216	STEAM	AF Elbasani vs Partizani	2 (Partizani)	3.87	70%	-11.8%	4.39				Steam move: odds dropped -11.8% | Sustained odds drop: 4.39 → 3.87 (-11.8%) | Strong drop >8% | 229 snapshots — robust data
16:30	216	STEAM	Teuta vs Egnatia	X (Draw)	2.86	70%	-13.3%	3.30				Steam move: odds dropped -13.3% | Sustained odds drop: 3.30 → 2.86 (-13.3%) | Strong drop >8% | 1255 snapshots — robust data
17:00	246	STEAM	Tractor (Irn) vs Al-Sadd (Qat)	2 (Al-Sadd (Qat))	1.70	85%	-40.4%	2.85				Steam move: odds dropped -40.4% | Sustained odds drop: 2.85 → 1.70 (-40.4%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 1317 snapshots — robust data
17:00	246	STEAM	Tractor (Irn) vs Al-Sadd (Qat)	2 (Al-Sadd (Qat))	1.70	85%	-40.4%	2.85				Steam move: odds dropped -40.4% | Sustained odds drop: 2.85 → 1.70 (-40.4%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 1317 snapshots — robust data
17:00	246	STEAM	CSKA Sofia vs CSKA 1948 Sofia	1 (CSKA Sofia)	1.81	70%	-5.7%	1.92				Steam move: odds dropped -5.7% | Sustained odds drop: 1.92 → 1.81 (-5.7%) | Other outcomes rising while this drops — market consensus | 1317 snapshots — robust data
17:00	246	STEAM	Leixoes U23 vs Sporting CP U23	X (Draw)	3.31	70%	-5.4%	3.50				Steam move: odds dropped -5.4% | Sustained odds drop: 3.50 → 3.31 (-5.4%) | Other outcomes rising while this drops — market consensus | 1278 snapshots — robust data
17:00	246	STEAM	Sepahan vs Al Ahli Doha	2 (Al Ahli Doha)	2.72	70%	-36.9%	4.31				Steam move: odds dropped -36.9% | Sustained odds drop: 4.31 → 2.72 (-36.9%) | Strong drop >8% | 284 snapshots — robust data
17:00	246	STEAM	Ludogorets vs Levski Sofia	1 (Ludogorets)	2.18	70%	-6.0%	2.32				Steam move: odds dropped -6.0% | Sustained odds drop: 2.32 → 2.18 (-6.0%) | Other outcomes rising while this drops — market consensus | 321 snapshots — robust data
17:00	246	STEAM	CSKA Sofia vs CSKA 1948 Sofia	1 (CSKA Sofia)	1.81	70%	-5.7%	1.92				Steam move: odds dropped -5.7% | Sustained odds drop: 1.92 → 1.81 (-5.7%) | Other outcomes rising while this drops — market consensus | 1317 snapshots — robust data
17:00	246	STEAM	Leixoes U23 vs Sporting CP U23	X (Draw)	3.31	70%	-5.4%	3.50				Steam move: odds dropped -5.4% | Sustained odds drop: 3.50 → 3.31 (-5.4%) | Other outcomes rising while this drops — market consensus | 1278 snapshots — robust data
17:00	246	STEAM	Al-Shabbab vs Al Khalidiyah	X (Draw)	4.73	55%	-7.4%	5.11				Steam move: odds dropped -7.4% | Sustained odds drop: 5.11 → 4.73 (-7.4%) | 250 snapshots — robust data
17:00	246	STEAM	Zalaegerszegi vs Vasas	2 (Vasas)	2.59	55%	-5.8%	2.75				Steam move: odds dropped -5.8% | Sustained odds drop: 2.75 → 2.59 (-5.8%) | 173 snapshots — robust data
17:00	246	SUSTAINED_DROP	Sepahan vs Al Ahli Doha	X (Draw)	3.15	40%	-8.2%	3.43				Sustained odds drop: 3.43 → 3.15 (-8.2%) | Strong drop >8% | 284 snapshots — robust data
17:00	246	SUSTAINED_DROP	Zalaegerszegi vs Vasas	X (Draw)	3.65	25%	-5.9%	3.88				Sustained odds drop: 3.88 → 3.65 (-5.9%) | 173 snapshots — robust data
17:30	276	STEAM	Ferencvaros vs Csakvari	X (Draw)	6.34	70%	-10.7%	7.10				Steam move: odds dropped -10.7% | Sustained odds drop: 7.10 → 6.34 (-10.7%) | Strong drop >8% | 159 snapshots — robust data
18:00	306	STEAM	Zrinjski vs Stupcanica	1 (Zrinjski)	1.15	85%	-19.6%	1.43				Steam move: odds dropped -19.6% | Sustained odds drop: 1.43 → 1.15 (-19.6%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 1258 snapshots — robust data
18:00	306	STEAM	Altamura vs Latina	X (Draw)	2.74	85%	-9.3%	3.02				Steam move: odds dropped -9.3% | Sustained odds drop: 3.02 → 2.74 (-9.3%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 1317 snapshots — robust data
18:00	306	STEAM	Zrinjski vs Stupcanica	1 (Zrinjski)	1.15	85%	-19.6%	1.43				Steam move: odds dropped -19.6% | Sustained odds drop: 1.43 → 1.15 (-19.6%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 1258 snapshots — robust data
18:00	306	STEAM	Altamura vs Latina	X (Draw)	2.74	85%	-9.3%	3.02				Steam move: odds dropped -9.3% | Sustained odds drop: 3.02 → 2.74 (-9.3%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 1317 snapshots — robust data
18:00	306	STEAM	Trapani vs Benevento	X (Draw)	3.35	70%	-12.1%	3.81				Steam move: odds dropped -12.1% | Sustained odds drop: 3.81 → 3.35 (-12.1%) | Strong drop >8% | 1317 snapshots — robust data
18:00	306	STEAM	Sorrento vs Giugliano	X (Draw)	3.01	70%	-7.7%	3.26				Steam move: odds dropped -7.7% | Sustained odds drop: 3.26 → 3.01 (-7.7%) | Other outcomes rising while this drops — market consensus | 1317 snapshots — robust data
18:00	306	STEAM	Polokwane vs AmaZulu	2 (AmaZulu)	2.88	70%	-12.7%	3.30				Steam move: odds dropped -12.7% | Sustained odds drop: 3.30 → 2.88 (-12.7%) | Strong drop >8% | 1254 snapshots — robust data
18:00	306	STEAM	Weindorf St. Anna (Aut) vs UFC Fehring (Aut)	2 (UFC Fehring (Aut))	5.07	70%	-49.3%	10.00				Steam move: odds dropped -49.3% | Sustained odds drop: 10.00 → 5.07 (-49.3%) | Strong drop >8% | 1257 snapshots — robust data
18:00	306	STEAM	Trapani vs Benevento	X (Draw)	3.35	70%	-12.1%	3.81				Steam move: odds dropped -12.1% | Sustained odds drop: 3.81 → 3.35 (-12.1%) | Strong drop >8% | 1317 snapshots — robust data
18:00	306	STEAM	Sorrento vs Giugliano	X (Draw)	3.01	70%	-7.7%	3.26				Steam move: odds dropped -7.7% | Sustained odds drop: 3.26 → 3.01 (-7.7%) | Other outcomes rising while this drops — market consensus | 1317 snapshots — robust data
18:00	306	STEAM	Polokwane vs AmaZulu	2 (AmaZulu)	2.88	70%	-12.7%	3.30				Steam move: odds dropped -12.7% | Sustained odds drop: 3.30 → 2.88 (-12.7%) | Strong drop >8% | 1254 snapshots — robust data
18:00	306	STEAM	Weindorf St. Anna (Aut) vs UFC Fehring (Aut)	2 (UFC Fehring (Aut))	5.07	70%	-49.3%	10.00				Steam move: odds dropped -49.3% | Sustained odds drop: 10.00 → 5.07 (-49.3%) | Strong drop >8% | 1257 snapshots — robust data
18:00	306	STEAM	Cavese vs Monopoli	X (Draw)	2.88	55%	-5.9%	3.06				Steam move: odds dropped -5.9% | Sustained odds drop: 3.06 → 2.88 (-5.9%) | 1317 snapshots — robust data
18:00	306	STEAM	Cavese vs Monopoli	X (Draw)	2.88	55%	-5.9%	3.06				Steam move: odds dropped -5.9% | Sustained odds drop: 3.06 → 2.88 (-5.9%) | 1317 snapshots — robust data
18:00	306	SUSTAINED_DROP	Trapani vs Benevento	1 (Trapani)	3.86	40%	-39.1%	6.34				Sustained odds drop: 6.34 → 3.86 (-39.1%) | Strong drop >8% | 1317 snapshots — robust data
18:00	306	SUSTAINED_DROP	Trapani vs Benevento	1 (Trapani)	3.86	40%	-39.1%	6.34				Sustained odds drop: 6.34 → 3.86 (-39.1%) | Strong drop >8% | 1317 snapshots — robust data
18:00	306	SUSTAINED_DROP	Weindorf St. Anna (Aut) vs UFC Fehring (Aut)	X (Draw)	6.01	25%	-7.5%	6.50				Sustained odds drop: 6.50 → 6.01 (-7.5%) | 1257 snapshots — robust data
18:00	306	SUSTAINED_DROP	Weindorf St. Anna (Aut) vs UFC Fehring (Aut)	X (Draw)	6.01	25%	-7.5%	6.50				Sustained odds drop: 6.50 → 6.01 (-7.5%) | 1257 snapshots — robust data
18:30	336	LATE_SHARP	Eintracht Frankfurt W vs Nordsjaelland W	2 (Nordsjaelland W)	12.00	95%	-14.3%	14.00				Late sharp move detected on 2 | Steam move: odds dropped -14.3% | Sustained odds drop: 14.00 → 12.00 (-14.3%) | Strong drop >8% | 28 snapshots — robust data
18:30	336	STEAM	Holbaek (Den) vs Tarnby FF (Den)	1 (Holbaek (Den))	1.40	85%	-9.1%	1.54				Steam move: odds dropped -9.1% | Sustained odds drop: 1.54 → 1.40 (-9.1%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 1237 snapshots — robust data
18:30	336	STEAM	Holbaek (Den) vs Tarnby FF (Den)	1 (Holbaek (Den))	1.40	85%	-9.1%	1.54				Steam move: odds dropped -9.1% | Sustained odds drop: 1.54 → 1.40 (-9.1%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 1237 snapshots — robust data
18:30	336	STEAM	Hacken W vs Breidablik W	1 (Hacken W)	1.09	70%	-5.2%	1.15				Steam move: odds dropped -5.2% | Sustained odds drop: 1.15 → 1.09 (-5.2%) | Other outcomes rising while this drops — market consensus | 6 snapshots — robust data
18:45	351	STEAM	G.A. Eagles vs Heerenveen	1 (G.A. Eagles)	2.57	85%	-10.8%	2.88				Steam move: odds dropped -10.8% | Sustained odds drop: 2.88 → 2.57 (-10.8%) | Strong drop >8% | Other outcomes rising while this drops — market consensus | 321 snapshots — robust data
