captured_at	match_date	days_until	kick_off	match	bet	odds	opening	drop_pct	snapshots	confidence	score	market_consensus	type	stage	reason
12:12:06	2026-02-11	1	23:30	Maranhao vs Sampaio Correa	2 (Sampaio Correa)	3.03	3.32	-8.7%	157	85%	69.5	DA	STEAM	early	Steam move: -8.7% | Drop: 3.32 → 3.03 (-8.7%) | Strong drop >8% | Market consensus — others rising | 157 snapshots | EARLY
12:49:45	2026-02-11	1	13:00	Nakhon Si vs Khonkaen Utd.	1 (Nakhon Si)	2.95	3.55	-16.9%	1242	75%	69.5	NE	LATE_SHARP	early	Late sharp move on 1 | Drop: 3.55 → 2.95 (-16.9%) | Strong drop >8% | 1242 snapshots | EARLY
12:53:35	2026-02-11	1	20:45	Chertsey vs Dorchester	1 (Chertsey)	1.91	2.09	-8.6%	1170	85%	69.3	DA	STEAM	early	Steam move: -8.6% | Drop: 2.09 → 1.91 (-8.6%) | Strong drop >8% | Market consensus — others rising | 1170 snapshots | EARLY
05:51:42	2026-02-11	1	11:30	Shamakhi vs Qarabag	2 (Qarabag)	1.28	1.40	-8.6%	659	85%	69.2	DA	STEAM	early	Steam move: -8.6% | Drop: 1.40 → 1.28 (-8.6%) | Strong drop >8% | Market consensus — others rising | 659 snapshots | EARLY
12:53:35	2026-02-11	1	14:00	Dynamo Moscow (Rus) vs Krasnodar (Rus)	2 (Krasnodar (Rus))	2.04	2.23	-8.5%	1317	85%	69.1	DA	STEAM	early	Steam move: -8.5% | Drop: 2.23 → 2.04 (-8.5%) | Strong drop >8% | Market consensus — others rising | 1317 snapshots | EARLY
12:53:35	2026-02-11	1	13:15	Cong An Ha Noi vs Tampines	1 (Cong An Ha Noi)	1.30	1.42	-8.5%	290	85%	69.0	DA	STEAM	early	Steam move: -8.5% | Drop: 1.42 → 1.30 (-8.5%) | Strong drop >8% | Market consensus — others rising | 290 snapshots | EARLY
06:54:23	2026-02-11	1	20:45	Hednesford vs Hebburn Town	1 (Hednesford)	1.86	2.03	-8.4%	706	85%	68.9	DA	STEAM	early	Steam move: -8.4% | Drop: 2.03 → 1.86 (-8.4%) | Strong drop >8% | Market consensus — others rising | 706 snapshots | EARLY
11:05:29	2026-02-11	1	18:00	Al Qadisiya (Kuw) vs Zakho (Irq)	1 (Al Qadisiya (Kuw))	1.76	1.92	-8.3%	1108	85%	68.8	DA	STEAM	early	Steam move: -8.3% | Drop: 1.92 → 1.76 (-8.3%) | Strong drop >8% | Market consensus — others rising | 1108 snapshots | EARLY
12:12:06	2026-02-11	1	20:45	Bishop's Stortford vs Harborough	2 (Harborough)	1.65	1.80	-8.3%	1120	85%	68.8	DA	STEAM	early	Steam move: -8.3% | Drop: 1.80 → 1.65 (-8.3%) | Strong drop >8% | Market consensus — others rising | 1120 snapshots | EARLY
12:45:41	2026-02-14	4	17:30	Zaglebie vs Rakow	2 (Rakow)	2.01	2.19	-8.2%	122	85%	68.7	DA	STEAM	early	Steam move: -8.2% | Drop: 2.19 → 2.01 (-8.2%) | Strong drop >8% | Market consensus — others rising | 122 snapshots | EARLY
09:11:23	2026-02-14	4	20:45	St. Liege vs Royale Union SG	2 (Royale Union SG)	1.72	1.88	-8.5%	96	85%	68.7	DA	STEAM	early	Steam move: -8.5% | Drop: 1.88 → 1.72 (-8.5%) | Strong drop >8% | Market consensus — others rising | 96 snapshots | EARLY
10:17:43	2026-02-11	1	11:00	Gangwon (Kor) vs Shanghai Port (Chn)	1 (Gangwon (Kor))	1.57	1.71	-8.2%	263	85%	68.6	DA	STEAM	early	Steam move: -8.2% | Drop: 1.71 → 1.57 (-8.2%) | Strong drop >8% | Market consensus — others rising | 263 snapshots | EARLY
12:45:41	2026-02-13	3	01:30	U. Catolica (Ecu) vs Juventud (Uru)	1 (U. Catolica (Ecu))	1.47	1.60	-8.1%	123	85%	68.5	DA	STEAM	early	Steam move: -8.1% | Drop: 1.60 → 1.47 (-8.1%) | Strong drop >8% | Market consensus — others rising | 123 snapshots | EARLY
12:53:35	2026-02-11	1	13:00	GOSK Gabela vs Prijedor	2 (Prijedor)	2.12	2.55	-16.9%	1258	70%	68.0	NE	STEAM	early	Steam move: -16.9% | Drop: 2.55 → 2.12 (-16.9%) | Strong drop >8% | 1258 snapshots | EARLY
