alerted_at;match_key;home;away;kick_off;signal_type;bet;odds;opening_odds;pct_change;confidence;edge;snapshots;stake_model;stake;result;profit;resolved_at;reason
2026-02-08T12:38:49.427298;Besa Kavaje|AF Luftetari;Besa Kavaje;AF Luftetari;13:30;STEAM;1;1.32;1.42;-0.0704;0.7;0.0704;215;flat;1.0;;;;Steam move: odds dropped -7.0% | Sustained odds drop: 1.42 → 1.32 (-7.0%) | Other outcomes rising while this drops — market consensus | 215 snapshots — robust data
2026-02-08T12:38:49.430682;Hannover|Holstein Kiel;Hannover;Holstein Kiel;13:30;STEAM;1;1.66;1.76;-0.0568;0.7;0.0568;213;flat;1.0;;;;Steam move: odds dropped -5.7% | Sustained odds drop: 1.76 → 1.66 (-5.7%) | Other outcomes rising while this drops — market consensus | 213 snapshots — robust data
2026-02-08T12:38:49.433460;Lokomotiv Moscow (Rus)|Yelimay Semey (Kaz);Lokomotiv Moscow (Rus);Yelimay Semey (Kaz);13:30;STEAM;1;1.36;1.44;-0.0556;0.7;0.0556;41;flat;1.0;;;;Steam move: odds dropped -5.6% | Sustained odds drop: 1.44 → 1.36 (-5.6%) | Other outcomes rising while this drops — market consensus | 41 snapshots — robust data
2026-02-08T12:38:49.436005;Mes Rafsanjan|Esteghlal Khuzestan;Mes Rafsanjan;Esteghlal Khuzestan;13:30;STEAM;1;2.24;2.54;-0.1181;0.7;0.1181;178;flat;1.0;loss;-1.0;2026-02-08T12:38:50.298133;Steam move: odds dropped -11.8% | Sustained odds drop: 2.54 → 2.24 (-11.8%) | Strong drop >8% | 178 snapshots — robust data
2026-02-08T12:38:49.438525;ASIL Lysi|Ayia Napa;ASIL Lysi;Ayia Napa;14:00;STEAM;1;2.02;2.48;-0.1855;0.7;0.1855;212;flat;1.0;;;;Steam move: odds dropped -18.6% | Sustained odds drop: 2.48 → 2.02 (-18.6%) | Strong drop >8% | 212 snapshots — robust data
2026-02-08T12:38:49.446161;Highbury|Sekhukhune;Highbury;Sekhukhune;14:00;STEAM;2;1.63;1.72;-0.0523;0.7;0.0523;170;flat;1.0;win;0.63;2026-02-08T12:38:50.305284;Steam move: odds dropped -5.2% | Sustained odds drop: 1.72 → 1.63 (-5.2%) | Other outcomes rising while this drops — market consensus | 170 snapshots — robust data
2026-02-08T12:38:49.449813;Mkhambathi|Lerumo Lions;Mkhambathi;Lerumo Lions;14:00;STEAM;2;1.99;2.14;-0.0701;0.7;0.0701;211;flat;1.0;;;;Steam move: odds dropped -7.0% | Sustained odds drop: 2.14 → 1.99 (-7.0%) | Other outcomes rising while this drops — market consensus | 211 snapshots — robust data
2026-02-08T12:38:49.454032;PAEEK|Doxa;PAEEK;Doxa;14:00;STEAM;1;1.94;2.05;-0.0537;0.7;0.0537;201;flat;1.0;loss;-1.0;2026-02-08T12:38:50.313664;Steam move: odds dropped -5.4% | Sustained odds drop: 2.05 → 1.94 (-5.4%) | Other outcomes rising while this drops — market consensus | 201 snapshots — robust data
2026-02-08T12:38:49.473756;Servette|Thun;Servette;Thun;14:00;STEAM;1;2.12;2.34;-0.094;0.7;0.094;211;flat;1.0;;;;Steam move: odds dropped -9.4% | Sustained odds drop: 2.34 → 2.12 (-9.4%) | Strong drop >8% | 211 snapshots — robust data
2026-02-08T12:38:49.476128;Silkeborg|Viborg;Silkeborg;Viborg;14:00;STEAM;2;2.17;2.32;-0.0647;0.7;0.0647;212;flat;1.0;;;;Steam move: odds dropped -6.5% | Sustained odds drop: 2.32 → 2.17 (-6.5%) | Other outcomes rising while this drops — market consensus | 212 snapshots — robust data
