time	date	kick_off	match	bet	tip	odds	opening	drop_pct	confidence	stake	tier	snapshots	status	reason
00:50:21	2026-02-22	13:00	Sporting Ben Arous vs BS Bouhajla	HOME	1	1.78	2.12	16.0	80	4%	1	207	PENDING	Drop 16.0% | Conf 80% | 207 snaps
00:50:21	2026-02-22	13:15	Penya vs Carroi	HOME	1	1.52	1.82	16.5	80	4%	1	438	PENDING	Drop 16.5% | Conf 80% | 438 snaps
00:50:21	2026-02-22	14:00	Aris Petroupolis vs Diagoras	DRAW	X	2.61	3.9	33.1	85	4%	1	226	PENDING	Drop 33.1% | Conf 85% | 226 snaps
00:50:21	2026-02-22	14:00	Lohne vs SC Weiche-08	HOME	1	2.09	2.46	15.0	80	4%	1	521	PENDING	Drop 15.0% | Conf 80% | 521 snaps
00:50:21	2026-02-22	14:00	Pretoria U. vs Sekhukhune	DRAW	X	3.38	4.8	29.6	80	4%	1	300	PENDING	Drop 29.6% | Conf 80% | 300 snaps
00:50:21	2026-02-22	14:30	Barito Putera vs Tornado Pekanbaru	HOME	1	1.67	1.98	15.7	80	4%	1	324	PENDING	Drop 15.7% | Conf 80% | 324 snaps
00:50:21	2026-02-22	14:30	Castelfidardo vs San Marino Calcio	HOME	1	2.13	2.69	20.8	90	5%	1	372	PENDING	Drop 20.8% | Conf 90% | 372 snaps
00:50:21	2026-02-22	14:30	Gent W vs Genk W	HOME	1	2.91	3.55	18.0	80	4%	1	448	PENDING	Drop 18.0% | Conf 80% | 448 snaps
00:50:21	2026-02-22	14:30	Groene Ster vs GOES	HOME	1	1.78	2.17	18.0	85	4%	1	218	PENDING	Drop 18.0% | Conf 85% | 218 snaps
00:50:21	2026-02-22	14:30	Sarraz-Eclepens vs Amical Saint-Prex	HOME	1	2.8	3.75	25.3	85	4%	1	207	PENDING	Drop 25.3% | Conf 85% | 207 snaps
00:50:21	2026-02-22	15:00	Aalesund (Nor) vs Fredrikstad (Nor)	HOME	1	2.86	3.5	18.3	80	4%	1	180	PENDING	Drop 18.3% | Conf 80% | 180 snaps
00:50:21	2026-02-22	15:00	Kerala Blasters vs Mumbai City	HOME	1	2.9	3.79	23.5	85	4%	1	462	PENDING	Drop 23.5% | Conf 85% | 462 snaps
00:50:21	2026-02-22	15:00	Lavagnese vs Derthona FbC	HOME	1	2.22	2.78	20.1	85	4%	1	378	PENDING	Drop 20.1% | Conf 85% | 378 snaps
00:50:21	2026-02-22	15:00	Selangor vs Kuching City FC	HOME	1	1.7	2.11	19.4	80	4%	1	282	PENDING	Drop 19.4% | Conf 80% | 282 snaps
00:50:21	2026-02-22	15:30	Hamburger SV II vs Bremer	HOME	1	1.72	2.07	16.9	80	4%	1	534	PENDING	Drop 16.9% | Conf 80% | 534 snaps
00:50:21	2026-02-22	15:30	Teplice vs Sigma Olomouc	HOME	1	2.68	3.07	12.7	80	4%	1	534	PENDING	Drop 12.7% | Conf 80% | 534 snaps
00:50:21	2026-02-22	16:00	APOEL vs Omonia	HOME	1	2.4	3.61	33.5	85	4%	1	539	PENDING	Drop 33.5% | Conf 85% | 539 snaps
00:50:21	2026-02-22	16:00	Anadia vs SC Vila Real	HOME	1	1.74	2.07	15.9	80	4%	1	195	PENDING	Drop 15.9% | Conf 80% | 195 snaps
00:50:21	2026-02-22	16:00	Kun Khalifa vs Niger Tornadoes	HOME	1	1.69	2.16	21.8	90	5%	1	320	PENDING	Drop 21.8% | Conf 90% | 320 snaps
